,wavelength,tap,head
0,310.0,2.76750853e-08,6.59758939e-07
1,311.0,2.94075253e-08,6.55694635e-07
2,312.0,2.7411927e-08,6.2262535e-07
3,313.0,2.91224289e-08,6.13018699e-07
4,314.0,2.90127797e-08,5.94359506e-07
5,315.0,2.54163446e-08,5.79210507e-07
6,316.0,2.72364939e-08,5.60366573e-07
7,317.0,2.61619562e-08,5.46510705e-07
8,318.0,2.4824244e-08,5.22124424e-07
9,319.0,2.18637712e-08,5.08268613e-07
10,320.0,2.18418332e-08,4.91456888e-07
11,321.0,2.24339338e-08,4.73906198e-07
12,322.0,2.2083066e-08,4.6245205e-07
13,323.0,2.00436219e-08,4.41391137e-07
14,324.0,1.82673201e-08,4.28643858e-07
15,325.0,1.39252894e-08,4.16820228e-07
16,326.0,1.15569021e-08,4.03518612e-07
17,327.0,1.79822397e-08,3.868916e-07
18,328.0,1.346476e-08,3.69156197e-07
19,329.0,1.21928494e-08,3.5788679e-07
20,330.0,1.47147468e-08,3.46432671e-07
21,331.0,8.85957174e-09,3.32392091e-07
22,332.0,1.26314408e-08,3.2186162e-07
23,333.0,8.00431366e-09,3.05419377e-07
24,334.0,1.00876196e-08,2.94519452e-07
25,335.0,1.12937446e-08,2.85282255e-07
26,336.0,9.16657594e-09,2.75306007e-07
27,337.0,1.17323351e-08,2.64775537e-07
28,338.0,1.02849915e-08,2.49441825e-07
29,339.0,1.05481339e-08,2.45192638e-07
30,340.0,9.10079034e-09,2.31152086e-07
31,341.0,8.44290415e-09,2.27457235e-07
32,342.0,7.56572227e-09,2.19882679e-07
33,343.0,4.05701117e-09,2.08059063e-07
34,344.0,7.03942282e-09,2.05472631e-07
35,345.0,7.39028927e-09,1.97528607e-07
36,346.0,3.55261953e-09,1.96420189e-07
37,347.0,3.50877283e-09,1.9383377e-07
38,348.0,4.97803976e-09,1.85335523e-07
39,349.0,4.45173987e-09,1.8367291e-07
40,350.0,3.55261953e-09,1.81271218e-07
41,351.0,5.74557379e-09,1.84596587e-07
42,352.0,-6.79763579e-10,1.81455945e-07
43,353.0,4.14472012e-09,1.81086477e-07
44,354.0,4.71489736e-09,1.78500045e-07
45,355.0,1.3596807e-09,1.83118573e-07
46,356.0,4.49560211e-09,1.7979319e-07
47,357.0,3.35526296e-09,1.83488041e-07
48,358.0,5.02190201e-09,1.81455945e-07
49,359.0,3.68420605e-09,1.8367291e-07
50,360.0,4.18858237e-09,1.90508388e-07
51,361.0,2.80702439e-09,1.91616806e-07
52,362.0,5.65786484e-09,2.01962536e-07
53,363.0,3.13596749e-09,2.06026982e-07
54,364.0,4.07893452e-09,2.10091287e-07
55,365.0,5.3508451e-09,2.18959002e-07
56,366.0,5.2192739e-09,2.29304717e-07
57,367.0,2.03949035e-09,2.3835716e-07
58,368.0,5.5920637e-09,2.50365503e-07
59,369.0,6.16224094e-09,2.58679023e-07
60,370.0,7.25871807e-09,2.66253579e-07
61,371.0,3.7061294e-09,2.84358464e-07
62,372.0,7.80695686e-09,2.9544313e-07
63,373.0,1.3596807e-09,3.12439596e-07
64,374.0,6.62275523e-09,3.30359882e-07
65,375.0,7.30258032e-09,3.46617384e-07
66,376.0,8.20168555e-09,3.65645946e-07
67,377.0,7.56572227e-09,3.88184901e-07
68,378.0,6.11837914e-09,4.17004969e-07
69,379.0,7.93852806e-09,4.32708163e-07
70,380.0,4.91225416e-09,4.60789295e-07
71,381.0,8.39904235e-09,4.89609533e-07
72,382.0,3.35526296e-09,5.16212651e-07
73,383.0,9.16657594e-09,5.42076805e-07
74,384.0,1.26753026e-08,5.78286688e-07
75,385.0,1.36182701e-08,6.10062841e-07
76,386.0,1.23463595e-08,6.34633693e-07
77,387.0,1.3289327e-08,6.71767452e-07
78,388.0,1.41665089e-08,7.1093325e-07
79,389.0,1.49340433e-08,7.41416045e-07
80,390.0,1.60743809e-08,7.84646204e-07
81,391.0,1.87497733e-08,8.22149389e-07
82,392.0,2.02629185e-08,8.57804935e-07
83,393.0,2.1710262e-08,9.01774115e-07
84,394.0,1.85524165e-08,9.52394089e-07
85,395.0,2.50435388e-08,1.00024272e-06
86,396.0,2.51093404e-08,1.03940852e-06
87,397.0,2.6556684e-08,1.07820483e-06
88,398.0,2.84426189e-08,1.12494536e-06
89,399.0,3.22364251e-08,1.16115507e-06
90,400.0,1.09922667e-06,1.00882426e-05
91,401.0,9.60569537e-07,1.0156934e-05
92,402.0,1.09880875e-06,1.03339335e-05
93,403.0,1.08397137e-06,1.04678738e-05
94,404.0,1.11716849e-06,1.05407871e-05
